customer_name,city,date_from,date_to
Kayley,Nevada,2024-01-02,2024-01-02
Sterling,Colorado,2024-01-03,2024-01-03
Buford,Virginia,2024-01-04,2024-01-04
Caterina,Oklahoma,2024-01-05,2024-01-05
Raymond,District of Columbia,2024-01-06,2024-01-06
Cheyenne,Maryland,2024-01-07,2024-01-07
Cecelia,Louisiana,2024-01-08,2024-01-08
Brenna,Oregon,2024-01-09,2024-01-09
Lela,Illinois,2024-01-10,2024-01-10
Cleo,Kentucky,2024-01-11,2024-01-11
Shany,Kentucky,2024-01-12,2024-01-12
Madaline,Maine,2024-01-13,2024-01-13
Melissa,Idaho,2024-01-14,2024-01-14
Orion,Vermont,2024-01-15,2024-01-15
Ottilie,SouthDakota,2024-01-16,2024-01-16
