customer_name,city,date_from,date_to
Sterling,Edgardoberg,2024-01-03,2018-03-07 05:29:10
Sterling,Gilbertmouth,2024-01-04,2018-03-13 00:08:29
Cecelia,East Rickey,2024-01-08,2018-03-18 11:13:27
Sterling,Agustinstad,2024-01-10,2018-03-09 16:41:55
Sterling,North Lisandroport,2024-01-13,2018-03-20 01:13:38
Cecelia,Estaland,2024-01-14,2018-02-27 07:31:19
Sterling,Edgardoberg,2024-01-03,2018-02-25 19:55:00
Sterling,Gilbertmouth,2024-01-04,2018-03-22 10:20:16
Cecelia,East Rickey,2024-01-08,2018-03-09 12:03:31
Lela,Agustinstad,2024-01-10,2018-03-09 16:41:55
Sterling,North Lisandroport,2024-01-13,2018-03-10 00:47:18
Cecelia,Estaland,2024-01-14,2018-03-24 06:20:36
Lela,Edgardoberg,2024-01-03,2018-03-07 05:29:10
Lela,Gilbertmouth,2024-01-04,2018-03-13 00:08:29
Cecelia,East Rickey,2024-01-08,2018-03-11 20:11:21
Madaline,Agustinstad,2024-01-10,2018-03-09 16:41:55
Sterling,North Lisandroport,2024-01-13,2018-03-14 21:36:28
Cecelia,Estaland,2024-01-14,2018-03-07 17:47:47
Lela,Edgardoberg,2024-01-03,2018-02-25 19:55:00
Lela,Gilbertmouth,2024-01-04,2018-03-22 10:20:16
Cheyenne,East Rickey,2024-01-08,2018-03-18 11:13:27
Buford,Agustinstad,2024-01-10,2018-03-09 16:41:55
Sterling,North Lisandroport,2024-01-13,2018-03-07 12:04:20
Cheyenne,Estaland,2024-01-14,2018-02-27 07:31:19
Madaline,Edgardoberg,2024-01-03,2018-03-07 05:29:10
Madaline,Gilbertmouth,2024-01-04,2018-03-13 00:08:29
Cheyenne,East Rickey,2024-01-08,2018-03-09 12:03:31
Lela,North Lisandroport,2024-01-13,2018-03-20 01:13:38
Cheyenne,Estaland,2024-01-14,2018-03-24 06:20:36
Madaline,Edgardoberg,2024-01-03,2018-02-25 19:55:00
Madaline,Gilbertmouth,2024-01-04,2018-03-22 10:20:16
Cheyenne,East Rickey,2024-01-08,2018-03-11 20:11:21
Lela,North Lisandroport,2024-01-13,2018-03-10 00:47:18
Cheyenne,Estaland,2024-01-14,2018-03-07 17:47:47
Buford,Edgardoberg,2024-01-03,2018-03-07 05:29:10
Buford,Gilbertmouth,2024-01-04,2018-03-13 00:08:29
Melissa,East Rickey,2024-01-08,2018-03-18 11:13:27
Lela,North Lisandroport,2024-01-13,2018-03-14 21:36:28
Melissa,Estaland,2024-01-14,2018-02-27 07:31:19
Buford,Edgardoberg,2024-01-03,2018-02-25 19:55:00
Buford,Gilbertmouth,2024-01-04,2018-03-22 10:20:16
Melissa,East Rickey,2024-01-08,2018-03-09 12:03:31
Lela,North Lisandroport,2024-01-13,2018-03-07 12:04:20
Melissa,Estaland,2024-01-14,2018-03-24 06:20:36
Melissa,East Rickey,2024-01-08,2018-03-11 20:11:21
Madaline,North Lisandroport,2024-01-13,2018-03-20 01:13:38
Melissa,Estaland,2024-01-14,2018-03-07 17:47:47
Madaline,North Lisandroport,2024-01-13,2018-03-10 00:47:18
Madaline,North Lisandroport,2024-01-13,2018-03-14 21:36:28
Madaline,North Lisandroport,2024-01-13,2018-03-07 12:04:20
Buford,North Lisandroport,2024-01-13,2018-03-20 01:13:38
Buford,North Lisandroport,2024-01-13,2018-03-10 00:47:18
Buford,North Lisandroport,2024-01-13,2018-03-14 21:36:28
Buford,North Lisandroport,2024-01-13,2018-03-07 12:04:20
