customer_name,city,date_from,date_to
Kayley,name_1,2024-01-02,2024-01-02
Sterling,name_2,2024-01-03,2024-01-03
Buford,name_3,2024-01-04,2024-01-04
Caterina,name_4,2024-01-05,2024-01-05
Raymond,name_5,2024-01-06,2024-01-06
Cheyenne,name_6,2024-01-07,2024-01-07
Cecelia,name_7,2024-01-08,2024-01-08
Brenna,name_8,2024-01-09,2024-01-09
Lela,name_9,2024-01-10,2024-01-10
Cleo,name_10,2024-01-11,2024-01-11
Shany,name_11,2024-01-12,2024-01-12
Madaline,name_12,2024-01-13,2024-01-13
Melissa,name_13,2024-01-14,2024-01-14
Orion,name_14,2024-01-15,2024-01-15
Ottilie,name_15,2024-01-16,2024-01-16
