customer_name,city,date_from,date_to
Buford,North Lisandroport,2018-03-07 12:04:20,2018-03-07 12:04:20
Buford,North Lisandroport,2018-03-14 21:36:28,2018-03-14 21:36:28
Buford,Gilbertmouth,2018-03-22 10:20:16,2018-03-22 10:20:16
Melissa,Estaland,2018-03-07 17:47:47,2018-03-07 17:47:47
Buford,Gilbertmouth,2018-03-13 00:08:29,2018-03-13 00:08:29
Buford,Edgardoberg,2018-02-25 19:55:00,2018-02-25 19:55:00
Melissa,Estaland,2018-03-24 06:20:36,2018-03-24 06:20:36
Buford,North Lisandroport,2018-03-10 00:47:18,2018-03-10 00:47:18
Melissa,Estaland,2018-02-27 07:31:19,2018-02-27 07:31:19
Melissa,East Rickey,2018-03-11 20:11:21,2018-03-11 20:11:21
Melissa,East Rickey,2018-03-09 12:03:31,2018-03-09 12:03:31
Buford,Edgardoberg,2018-03-07 05:29:10,2018-03-07 05:29:10
Buford,Agustinstad,2018-03-09 16:41:55,2018-03-09 16:41:55
Melissa,East Rickey,2018-03-18 11:13:27,2018-03-18 11:13:27
Buford,North Lisandroport,2018-03-20 01:13:38,2018-03-20 01:13:38
Madaline,North Lisandroport,2018-03-07 12:04:20,2018-03-07 12:04:20
Madaline,North Lisandroport,2018-03-14 21:36:28,2018-03-14 21:36:28
Madaline,Gilbertmouth,2018-03-22 10:20:16,2018-03-22 10:20:16
Cheyenne,Estaland,2018-03-07 17:47:47,2018-03-07 17:47:47
Madaline,Gilbertmouth,2018-03-13 00:08:29,2018-03-13 00:08:29
Madaline,Edgardoberg,2018-02-25 19:55:00,2018-02-25 19:55:00
Cheyenne,Estaland,2018-03-24 06:20:36,2018-03-24 06:20:36
Madaline,North Lisandroport,2018-03-10 00:47:18,2018-03-10 00:47:18
Cheyenne,Estaland,2018-02-27 07:31:19,2018-02-27 07:31:19
Cheyenne,East Rickey,2018-03-11 20:11:21,2018-03-11 20:11:21
Cheyenne,East Rickey,2018-03-09 12:03:31,2018-03-09 12:03:31
Madaline,Edgardoberg,2018-03-07 05:29:10,2018-03-07 05:29:10
Madaline,Agustinstad,2018-03-09 16:41:55,2018-03-09 16:41:55
Cheyenne,East Rickey,2018-03-18 11:13:27,2018-03-18 11:13:27
Madaline,North Lisandroport,2018-03-20 01:13:38,2018-03-20 01:13:38
Lela,North Lisandroport,2018-03-07 12:04:20,2018-03-07 12:04:20
Lela,North Lisandroport,2018-03-14 21:36:28,2018-03-14 21:36:28
Lela,Gilbertmouth,2018-03-22 10:20:16,2018-03-22 10:20:16
Cecelia,Estaland,2018-03-07 17:47:47,2018-03-07 17:47:47
Lela,Gilbertmouth,2018-03-13 00:08:29,2018-03-13 00:08:29
Lela,Edgardoberg,2018-02-25 19:55:00,2018-02-25 19:55:00
Cecelia,Estaland,2018-03-24 06:20:36,2018-03-24 06:20:36
Lela,North Lisandroport,2018-03-10 00:47:18,2018-03-10 00:47:18
Cecelia,Estaland,2018-02-27 07:31:19,2018-02-27 07:31:19
Cecelia,East Rickey,2018-03-11 20:11:21,2018-03-11 20:11:21
Cecelia,East Rickey,2018-03-09 12:03:31,2018-03-09 12:03:31
Lela,Edgardoberg,2018-03-07 05:29:10,2018-03-07 05:29:10
Lela,Agustinstad,2018-03-09 16:41:55,2018-03-09 16:41:55
Cecelia,East Rickey,2018-03-18 11:13:27,2018-03-18 11:13:27
Lela,North Lisandroport,2018-03-20 01:13:38,2018-03-20 01:13:38
Sterling,North Lisandroport,2018-03-07 12:04:20,2018-03-07 12:04:20
Sterling,North Lisandroport,2018-03-14 21:36:28,2018-03-14 21:36:28
Sterling,Gilbertmouth,2018-03-22 10:20:16,2018-03-22 10:20:16
Sterling,Gilbertmouth,2018-03-13 00:08:29,2018-03-13 00:08:29
Sterling,Edgardoberg,2018-02-25 19:55:00,2018-02-25 19:55:00
Sterling,North Lisandroport,2018-03-10 00:47:18,2018-03-10 00:47:18
Sterling,Edgardoberg,2018-03-07 05:29:10,2018-03-07 05:29:10
Sterling,Agustinstad,2018-03-09 16:41:55,2018-03-09 16:41:55
Sterling,North Lisandroport,2018-03-20 01:13:38,2018-03-20 01:13:38
