customer_name,city,date_from,date_to
Madaline,East Rickey,2018-03-07 12:04:20,2018-03-07 12:04:20
Madaline,Edgardoberg,2018-03-14 21:36:28,2018-03-14 21:36:28
Buford,Agustinstad,2018-03-22 10:20:16,2018-03-22 10:20:16
Melissa,Port Montytown,2018-03-07 17:47:47,2018-03-07 17:47:47
Buford,North Lisandroport,2018-03-13 00:08:29,2018-03-13 00:08:29
Sterling,Estaland,2018-02-25 19:55:00,2018-02-25 19:55:00
Melissa,Lake Katheryn,2018-03-24 06:20:36,2018-03-24 06:20:36
Madaline,Gilbertmouth,2018-03-10 00:47:18,2018-03-10 00:47:18
Cheyenne,Hertafurt,2018-03-16 14:49:28,2018-03-16 14:49:28
Melissa,Gibsonfurt,2018-02-27 07:31:19,2018-02-27 07:31:19
Cecelia,Estaland,2018-03-11 20:11:21,2018-03-11 20:11:21
Cecelia,Gilbertmouth,2018-03-09 12:03:31,2018-03-09 12:03:31
Sterling,Lake Floyd,2018-03-07 05:29:10,2018-03-07 05:29:10
Lela,Estaland,2018-03-09 16:41:55,2018-03-09 16:41:55
Cheyenne,North Lisandroport,2018-03-11 21:40:52,2018-03-11 21:40:52
Cecelia,Gilbertmouth,2018-03-18 11:13:27,2018-03-18 11:13:27
Madaline,Agustinstad,2018-03-20 01:13:38,2018-03-20 01:13:38
