customer_name,customer_phone
(773)971-9411x759,(773)971-9411x759
(402)890-2603x6005,(402)890-2603x6005
1-878-600-7193x8180,1-878-600-7193x8180
+43(3)1861877192,+43(3)1861877192
1-352-291-1721x265,1-352-291-1721x265
+66(7)1491041398,+66(7)1491041398
203-036-0511x96487,203-036-0511x96487
(840)754-4148x20545,(840)754-4148x20545
(030)521-0681x0191,(030)521-0681x0191
1-957-676-9414,1-957-676-9414
232.171.7032,232.171.7032
291-425-7193,291-425-7193
100.220.3484,100.220.3484
205.496.0690x53058,205.496.0690x53058
698-327-5792,698-327-5792
